City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,kiunga,-6.1219,141.2906,75.09,99,100,3.36,PG,1715121709
348,tateyama,34.9833,139.8667,69.1,83,100,7.09,JP,1715121866
349,center,31.5107,-96.4247,90.81,66,59,1.99,US,1715121573
350,usogorsk,63.4106,48.6872,19.67,88,1,3.67,RU,1715121866
351,cusseta,32.3054,-84.7727,89.26,53,96,8.46,US,1715121866
352,princeville,45.7668,-61.2985,53.31,67,57,4.81,CA,1715121859
353,birzebbuga,35.8258,14.5269,66.15,94,20,8.05,MT,1715121866
354,kavieng,-2.5744,150.7967,82.9,83,100,14.52,PG,1715121866
355,hovd,48.0056,91.6419,52.07,53,91,1.57,MN,1715121866
356,fuling,29.7022,107.3919,69.69,83,100,2.55,CN,1715121867
357,bouake,7.6895,-5.0218,80.71,83,20,4.61,CI,1715121867
358,lloydminster,53.2835,-110.0016,50.22,93,100,9.22,CA,1715121601
359,myeik,12.4333,98.6,77.95,81,99,4.36,MM,1715121867
360,gisborne,-38.6533,178.0042,54.68,71,100,7.54,NZ,1715121867
361,atherton,53.5237,-2.4935,56.75,78,52,1.99,GB,1715121867
362,biguacu,-27.4942,-48.6556,78.82,81,75,1.86,BR,1715121703
363,den burg,53.0542,4.7972,53.94,88,100,6.91,NL,1715121867
